target,collocate,exp_local,obs_local,ratio_local,obs_global,p_value
王小波,黄金时代,0.15755932910221157,7,44.42770885028949,31,1.6339374298013354e-10
王小波,中国,0.24904539116156021,7,28.10732600732601,49,5.949635673019316e-09
王小波,时代,0.16264188810550873,5,30.742387820512818,32,5.943974723532364e-07
王小波,小说,0.4421826332868518,5,11.30754494547598,87,8.676728000867051e-05
王小波,历史,0.12198141607913153,5,40.989850427350426,24,1.2961366679942188e-07
王小波,生活,0.4421826332868518,4,9.046035956380784,87,0.0010489845216753446
王小波,一位,0.2592105091681545,4,15.431473102061336,51,0.0001359618565397458
王小波,对峙,0.025412795016485735,3,118.05076923076923,5,1.2930785262998405e-06
王小波,三部曲,0.05082559003297147,3,59.02538461538462,10,1.5225745850444561e-05
王小波,代跋,0.015247677009891441,3,196.75128205128206,3,1.3029158870953562e-07
王小波,作者,0.11689885707583439,3,25.663210702341136,23,0.00021394019229326044
王小波,名字,0.16264188810550873,3,18.44543269230769,32,0.0005792012664888047
王小波,第一,0.07623838504945721,3,39.350256410256414,15,5.665000728594105e-05
王小波,消息,0.030495354019782882,3,98.37564102564103,6,2.5763790325420094e-06
王小波,缩减,0.04574303102967432,2,43.722507122507125,9,0.0009059519115652837
王小波,七年,0.02033023601318859,2,98.37564102564102,4,0.0001535586680397476
王小波,清扬,1.1486583347451553,2,1.7411617880644428,226,0.31895693697817185
王小波,一直,0.23888027315496593,2,8.372394980905618,47,0.023960447053597123
王小波,大陆,0.05590814903626862,2,35.77296037296038,11,0.00137480600074813
王小波,作家,0.12198141607913153,2,16.39594017094017,24,0.006604532289838594
王小波,文坛,0.015247677009891441,2,131.16752136752137,3,7.703893146886408e-05
王小波,写作,0.10165118006594294,2,19.675128205128207,20,0.004607920832419676
王小波,有人,0.5946594033857663,2,3.3632697786543937,117,0.11970260760790263
王小波,具有,0.02033023601318859,2,98.37564102564102,4,0.0001535586680397476
王小波,后来,2.15500501739799,2,0.9280720851475569,424,0.6358591394313002
王小波,见过,0.030495354019782882,2,65.58376068376069,6,0.00038131502558780284
王小波,大学,0.1931372421252916,2,10.355330634278003,38,0.01605467995523513
王小波,写道,0.030495354019782882,2,65.58376068376069,6,0.00038131502558780284
王小波,天真,0.05590814903626862,2,35.77296037296038,11,0.00137480600074813
王小波,白银时代,0.025412795016485735,2,78.70051282051283,5,0.00025506888107829084
王小波,主人翁,0.015247677009891441,2,131.16752136752137,3,7.703893146886408e-05
王小波,叙述者,0.025412795016485735,2,78.70051282051283,5,0.00025506888107829084
王小波,简单,0.04066047202637718,2,49.18782051282051,8,0.0007070066770047401
王小波,塞万提斯,0.015247677009891441,2,131.16752136752137,3,7.703893146886408e-05
王小波,自觉,0.02033023601318859,2,98.37564102564102,4,0.0001535586680397476
王小波,目录,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,总容,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,一名,0.05082559003297147,1,19.675128205128207,10,0.04968159493828461
王小波,个人,0.11689885707583439,1,8.554403567447045,23,0.11060496819531218
王小波,主义者,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,总序,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,爱情,0.0864035030560515,1,11.573604826546003,17,0.0829863128679379
王小波,第二章,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,第三章,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,第四章,0.035577913023080034,1,28.107326007326005,7,0.035041353481253146
王小波,世纪,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,百强,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,第七十七,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,七月,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,破鞋,0.44726519229014894,1,2.2358100233100235,88,0.3615173190853359
王小波,有幸,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,读过,0.025412795016485735,1,39.350256410256414,5,0.025156429423037974
王小波,王丹,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,一九九五年,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,夏天,0.15247677009891442,1,6.558376068376068,30,0.1417797763474412
王小波,想到,0.3862744842505832,1,2.5888326585695007,76,0.3212139649921969
王小波,北京,0.20838491913518303,1,4.798811757348343,41,0.18858114876249843
王小波,之后,0.23888027315496593,1,4.186197490452809,47,0.21302704546190732
王小波,英年早逝,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,异数,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,前无古人,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,可能,0.5133384593330119,1,1.948032495557248,101,0.40248980523469935
王小波,作品,0.12706397508242867,1,7.870051282051283,25,0.11962555393672136
王小波,罕见,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,趣味性,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,特别,0.16264188810550873,1,6.1484775641025635,32,0.1504849677778638
王小波,自由主义,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,文学,0.09148606205934864,1,10.930626780626781,18,0.0876481217248235
王小波,文化界,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,领军人物,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,朱伟,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,曾经,0.09148606205934864,1,10.930626780626781,18,0.0876481217248235
王小波,思想,0.19821980112858875,1,5.044904667981591,39,0.180265355144817
王小波,表现,0.09148606205934864,1,10.930626780626781,18,0.0876481217248235
王小波,做过,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,精辟,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,信仰,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,性爱,0.12706397508242867,1,7.870051282051283,25,0.11962555393672136
王小波,顺应,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,年轻人,0.035577913023080034,1,28.107326007326005,7,0.035041353481253146
王小波,调侃,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,反讽,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,鲁迅,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,努力,0.05082559003297147,1,19.675128205128207,10,0.04968159493828461
王小波,艾未,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,早期,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,政治,0.07115582604616007,1,14.053663003663003,14,0.06885784872681244
王小波,本来,0.0965686210626458,1,10.355330634278003,19,0.09228629217456286
王小波,笔下,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,荒谬,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,世代,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,关切,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,了解,0.060990708039565765,1,16.39594017094017,12,0.05931846017520559
王小波,或许,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,不会,0.5235035773396062,1,1.9102066218571072,103,0.4085561354124271
王小波,蠡测,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,张大,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,小说家,0.025412795016485735,1,39.350256410256414,5,0.025156429423037974
王小波,三个,0.07115582604616007,1,14.053663003663003,14,0.06885784872681244
王小波,刻意,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,故事,0.32528377621101745,1,3.0742387820512818,64,0.2783734480160375
王小波,联系,0.035577913023080034,1,28.107326007326005,7,0.035041353481253146
王小波,硕士学位,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,一书,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,后记,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,反映,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,宽泛,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,角度,0.035577913023080034,1,28.107326007326005,7,0.035041353481253146
王小波,例外,0.05590814903626862,1,17.88648018648019,11,0.0545122739978221
王小波,诚然如此,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,充满,0.09148606205934864,1,10.930626780626781,18,0.0876481217248235
王小波,层次,0.060990708039565765,1,16.39594017094017,12,0.05931846017520559
王小波,青铜时代,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,三部,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,宰制,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,叙述,0.04574303102967432,1,21.861253561253562,9,0.04482629894638601
王小波,材料,0.3303663352143146,1,3.0269428007889547,65,0.2820442190322464
王小波,上面,0.31511865820442314,1,3.173407775020678,62,0.270975651466523
王小波,机制,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,奠定,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,主要,0.1067337390692401,1,9.36910866910867,21,0.10149219399483289
王小波,这份,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,抗拒,0.05082559003297147,1,19.675128205128207,10,0.04968159493828461
王小波,变成,0.25412795016485734,1,3.9350256410256415,50,0.22497310472466903
王小波,惯例,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,之大,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,不韪,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,指之为,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,化身,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,借由,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,道理,0.1829721241186973,1,5.465313390313391,36,0.16763201321393184
王小波,自有,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,尤甚,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,操作,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,熟极,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,而流,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,灌注,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,失去,0.08132094405275436,1,12.296955128205127,16,0.07830074480156479
王小波,纯粹,0.04066047202637718,1,24.593910256410254,8,0.03994626034398041
王小波,之外,0.12198141607913153,1,8.197970085470086,24,0.11512672625049947
王小波,段落,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,命意,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,重弹,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,告诉,0.8894478255770008,1,1.1242930402930402,175,0.5904642186999738
王小波,这段,0.02033023601318859,1,49.18782051282051,4,0.020176157284864216
王小波,不火,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,自讥,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,讥人里,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,超越,0.025412795016485735,1,39.350256410256414,5,0.025156429423037974
王小波,威权,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,奥威尔,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,赫胥黎,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,明确,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,地说,0.11181629807253723,1,8.943240093240094,22,0.10606016309520638
王小波,纯然,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,机器,0.0864035030560515,1,11.573604826546003,17,0.0829863128679379
王小波,自由人,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,这位,0.0864035030560515,1,11.573604826546003,17,0.0829863128679379
王小波,狂野,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,大胆,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,翻写,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,唐传奇,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,对照,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,古简,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,典雅,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,语文,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,变得,0.10165118006594294,1,9.837564102564103,20,0.09690094324390786
王小波,使用,0.030495354019782882,1,32.79188034188034,6,0.030111452073126155
王小波,语言,0.025412795016485735,1,39.350256410256414,5,0.025156429423037974
王小波,悖离,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,来看,0.15755932910221157,1,6.346815550041356,31,0.14614343759685688
王小波,论者,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,不必,0.060990708039565765,1,16.39594017094017,12,0.05931846017520559
王小波,诬称,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,不禁,0.04066047202637718,1,24.593910256410254,8,0.03994626034398041
王小波,狐疑,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,猛省,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,蓄意,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,颠倒,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,知道,1.55018049600563,1,0.6450861706599411,305,0.7892806191108346
王小波,接著,0.05082559003297147,1,19.675128205128207,10,0.04968159493828461
王小波,这件,0.9860164466396466,1,1.0141818662437219,194,0.6283412460718916
王小波,篇幅,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,万分之一,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,小小,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,文坛人士,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,称作,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,恐怕,0.07623838504945721,1,13.116752136752137,15,0.0735912971795043
王小波,当代,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,小说史,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,嘲诮,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,有加,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,给予,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,苏伟贞,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,从来,0.1829721241186973,1,5.465313390313391,36,0.16763201321393184
王小波,照片,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,一张,0.16772444710880585,1,5.962160062160063,33,0.1548044795344381
王小波,模糊,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,一九九四年,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,中篇小说,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,印象,0.07623838504945721,1,13.116752136752137,15,0.0735912971795043
王小波,礼貌,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,相反,0.04066047202637718,1,24.593910256410254,8,0.03994626034398041
王小波,匹兹堡,0.010165118006594295,1,98.37564102564102,2,0.010139351503130981
王小波,任教,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
王小波,许倬云,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,先生,0.46759542830333756,1,2.138600891861761,92,0.37441412439928745
王小波,代转,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,推崇,0.005082559003297148,1,196.75128205128203,1,0.005082559002835714
王小波,东亚,0.015247677009891441,1,65.58376068376069,3,0.015170507556181878
